シフト,レーン,ゲーム,右利き_女性,右利き_男性,左利き_女性,左利き_男性,左利き_男性_累積,左利き_女性_累積,右利き_男性_累積,右利き_女性_累積
B,41L・42L,3,2.0,2.0,0.0,1.0,1.0,1.0,5.0,3.0
B,41L・42L,4,2.0,3.0,0.0,0.0,2.0,1.0,7.0,5.0
B,41L・42L,5,1.0,3.0,1.0,0.0,2.0,1.0,10.0,7.0
B,41L・42L,6,1.0,2.0,1.0,1.0,2.0,2.0,13.0,8.0
B,41L・42L,7,1.0,3.0,1.0,0.0,3.0,3.0,15.0,9.0
B,41L・42L,8,2.0,2.0,0.0,1.0,3.0,4.0,18.0,10.0
B,43L・44L,1,2.0,3.0,0.0,0.0,4.0,4.0,20.0,12.0
B,43L・44L,2,2.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0
B,43L・44L,3,2.0,2.0,0.0,1.0,2.0,0.0,4.0,4.0
B,43L・44L,4,2.0,2.0,0.0,1.0,3.0,0.0,6.0,6.0
B,43L・44L,5,1.0,2.0,1.0,1.0,4.0,0.0,8.0,8.0
B,43L・44L,6,2.0,3.0,0.0,0.0,5.0,1.0,10.0,9.0
B,43L・44L,7,1.0,2.0,1.0,1.0,5.0,1.0,13.0,11.0
B,43L・44L,8,2.0,3.0,0.0,0.0,6.0,2.0,15.0,12.0
B,45L・46L,1,2.0,2.0,0.0,1.0,6.0,2.0,18.0,14.0
B,45L・46L,2,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
B,45L・46L,3,2.0,3.0,0.0,0.0,1.0,0.0,5.0,4.0
B,45L・46L,4,2.0,3.0,0.0,0.0,1.0,0.0,8.0,6.0
B,45L・46L,5,2.0,2.0,0.0,1.0,1.0,0.0,11.0,8.0
B,45L・46L,6,1.0,3.0,1.0,0.0,2.0,0.0,13.0,10.0
B,45L・46L,7,1.0,1.0,1.0,2.0,2.0,1.0,16.0,11.0
B,45L・46L,8,1.0,2.0,1.0,0.0,4.0,2.0,17.0,12.0
B,47L・48L,1,2.0,3.0,0.0,0.0,4.0,3.0,19.0,13.0
B,47L・48L,2,1.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0
B,47L・48L,3,2.0,2.0,0.0,1.0,0.0,1.0,6.0,3.0
B,47L・48L,4,2.0,2.0,0.0,1.0,1.0,1.0,8.0,5.0
B,47L・48L,5,2.0,3.0,0.0,0.0,2.0,1.0,10.0,7.0
B,47L・48L,6,1.0,3.0,1.0,0.0,2.0,1.0,13.0,9.0
B,47L・48L,7,1.0,2.0,1.0,1.0,2.0,2.0,16.0,10.0
B,47L・48L,8,1.0,3.0,1.0,0.0,3.0,3.0,18.0,11.0
B,5L・6L,1,1.0,3.0,1.0,0.0,3.0,4.0,21.0,12.0
B,5L・6L,2,2.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0
B,5L・6L,3,2.0,3.0,0.0,0.0,1.0,1.0,5.0,3.0
B,5L・6L,4,2.0,3.0,0.0,0.0,1.0,1.0,8.0,5.0
B,5L・6L,5,2.0,3.0,0.0,0.0,1.0,1.0,11.0,7.0
B,5L・6L,6,2.0,2.0,0.0,1.0,1.0,1.0,14.0,9.0
B,5L・6L,7,1.0,3.0,1.0,0.0,2.0,1.0,16.0,11.0
B,5L・6L,8,1.0,1.0,1.0,2.0,2.0,2.0,19.0,12.0
B,7L・8L,1,1.0,2.0,1.0,1.0,4.0,3.0,20.0,13.0
B,7L・8L,2,2.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0
B,7L・8L,3,1.0,3.0,1.0,0.0,1.0,1.0,5.0,3.0
B,7L・8L,4,2.0,2.0,0.0,1.0,1.0,2.0,8.0,4.0
B,7L・8L,5,2.0,2.0,0.0,1.0,2.0,2.0,10.0,6.0
B,7L・8L,6,2.0,3.0,0.0,0.0,3.0,2.0,12.0,8.0
B,7L・8L,7,1.0,3.0,1.0,0.0,3.0,2.0,15.0,10.0
B,7L・8L,8,1.0,2.0,1.0,1.0,3.0,3.0,18.0,11.0
B,9L・10L,1,1.0,1.0,1.0,2.0,4.0,4.0,20.0,12.0
B,9L・10L,2,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0
B,9L・10L,3,2.0,3.0,0.0,0.0,2.0,2.0,3.0,2.0
B,9L・10L,4,2.0,1.0,0.0,2.0,2.0,2.0,6.0,4.0
B,9L・10L,5,2.0,2.0,0.0,1.0,4.0,2.0,7.0,6.0
B,9L・10L,6,2.0,2.0,0.0,1.0,5.0,2.0,9.0,8.0
B,9L・10L,7,1.0,2.0,1.0,1.0,6.0,2.0,11.0,10.0
B,9L・10L,8,2.0,3.0,0.0,0.0,7.0,3.0,13.0,11.0
