シフト,レーン,ゲーム,右利き_女性,右利き_男性,左利き_女性,左利き_男性,左利き_男性_累積,左利き_女性_累積,右利き_男性_累積,右利き_女性_累積
A,27L・28L,1,2.0,1.0,0.0,2.0,8.0,0.0,16.0,16.0
A,27L・28L,2,2.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0
A,27L・28L,3,2.0,2.0,0.0,1.0,3.0,0.0,3.0,4.0
A,27L・28L,4,2.0,2.0,0.0,1.0,4.0,0.0,5.0,6.0
A,27L・28L,5,2.0,3.0,0.0,0.0,5.0,0.0,7.0,8.0
A,27L・28L,6,2.0,3.0,0.0,0.0,5.0,0.0,10.0,10.0
A,27L・28L,7,2.0,2.0,0.0,1.0,5.0,0.0,13.0,12.0
A,27L・28L,8,2.0,3.0,0.0,0.0,6.0,0.0,15.0,14.0
A,29L・30L,1,2.0,2.0,0.0,1.0,6.0,0.0,18.0,16.0
A,29L・30L,2,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
A,29L・30L,3,2.0,2.0,0.0,1.0,1.0,0.0,5.0,4.0
A,29L・30L,4,2.0,2.0,0.0,1.0,2.0,0.0,7.0,6.0
A,29L・30L,5,2.0,2.0,0.0,1.0,3.0,0.0,9.0,8.0
A,29L・30L,6,2.0,2.0,0.0,1.0,4.0,0.0,11.0,10.0
A,29L・30L,7,2.0,3.0,0.0,0.0,5.0,0.0,13.0,12.0
A,29L・30L,8,2.0,3.0,0.0,0.0,5.0,0.0,16.0,14.0
A,31L・32L,1,2.0,3.0,0.0,0.0,5.0,0.0,19.0,16.0
A,31L・32L,2,2.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0
A,31L・32L,3,2.0,2.0,0.0,1.0,1.0,0.0,5.0,4.0
A,31L・32L,4,2.0,3.0,0.0,0.0,2.0,0.0,7.0,6.0
A,31L・32L,5,2.0,1.0,0.0,2.0,2.0,0.0,10.0,8.0
A,31L・32L,6,2.0,2.0,0.0,1.0,4.0,0.0,11.0,10.0
A,31L・32L,7,2.0,1.0,0.0,2.0,5.0,0.0,13.0,12.0
A,31L・32L,8,2.0,3.0,0.0,0.0,7.0,0.0,14.0,14.0
A,33L・34L,1,2.0,3.0,0.0,0.0,7.0,0.0,17.0,16.0
A,33L・34L,2,2.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0
A,33L・34L,3,2.0,2.0,0.0,1.0,2.0,0.0,4.0,4.0
A,33L・34L,4,2.0,2.0,0.0,1.0,3.0,0.0,6.0,6.0
A,33L・34L,5,2.0,2.0,0.0,1.0,4.0,0.0,8.0,8.0
A,33L・34L,6,2.0,3.0,0.0,0.0,5.0,0.0,10.0,10.0
A,33L・34L,7,2.0,3.0,0.0,0.0,5.0,0.0,13.0,12.0
A,33L・34L,8,2.0,2.0,0.0,1.0,5.0,0.0,16.0,14.0
A,35L・36L,1,2.0,3.0,0.0,0.0,6.0,0.0,18.0,16.0
A,35L・36L,2,2.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0
A,35L・36L,3,2.0,3.0,0.0,0.0,1.0,0.0,5.0,4.0
A,35L・36L,4,2.0,2.0,0.0,1.0,1.0,0.0,8.0,6.0
A,35L・36L,5,2.0,2.0,0.0,1.0,2.0,0.0,10.0,8.0
A,35L・36L,6,2.0,2.0,0.0,1.0,3.0,0.0,12.0,10.0
A,35L・36L,7,2.0,2.0,0.0,1.0,4.0,0.0,14.0,12.0
A,35L・36L,8,2.0,3.0,0.0,0.0,5.0,0.0,16.0,14.0
A,37L・38L,1,2.0,2.0,0.0,1.0,5.0,0.0,19.0,16.0
A,37L・38L,2,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
A,37L・38L,3,2.0,2.0,0.0,1.0,1.0,0.0,5.0,4.0
A,37L・38L,4,2.0,2.0,0.0,1.0,2.0,0.0,7.0,6.0
A,37L・38L,5,2.0,3.0,0.0,0.0,3.0,0.0,9.0,8.0
A,37L・38L,6,2.0,1.0,0.0,2.0,3.0,0.0,12.0,10.0
A,37L・38L,7,2.0,2.0,0.0,1.0,5.0,0.0,13.0,12.0
A,37L・38L,8,2.0,1.0,0.0,2.0,6.0,0.0,15.0,14.0
A,39L・40L,1,2.0,3.0,0.0,0.0,8.0,0.0,16.0,16.0
A,39L・40L,2,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0
A,39L・40L,3,2.0,1.0,0.0,2.0,0.0,0.0,6.0,4.0
A,39L・40L,4,2.0,2.0,0.0,1.0,2.0,0.0,7.0,6.0
A,39L・40L,5,2.0,2.0,0.0,1.0,3.0,0.0,9.0,8.0
A,39L・40L,6,2.0,2.0,0.0,1.0,4.0,0.0,11.0,10.0
A,39L・40L,7,2.0,3.0,0.0,0.0,5.0,0.0,13.0,12.0
A,39L・40L,8,2.0,3.0,0.0,0.0,5.0,0.0,16.0,14.0
A,3L・4L,1,2.0,3.0,0.0,0.0,5.0,0.0,19.0,16.0
A,3L・4L,2,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0
A,3L・4L,3,2.0,2.0,0.0,1.0,0.0,0.0,6.0,4.0
A,3L・4L,4,2.0,3.0,0.0,0.0,1.0,0.0,8.0,6.0
A,3L・4L,5,2.0,2.0,0.0,1.0,1.0,0.0,11.0,8.0
A,3L・4L,6,2.0,2.0,0.0,1.0,2.0,0.0,13.0,10.0
A,3L・4L,7,2.0,3.0,0.0,0.0,3.0,0.0,15.0,12.0
A,3L・4L,8,2.0,1.0,0.0,2.0,3.0,0.0,18.0,14.0
A,41L・42L,1,2.0,1.0,0.0,2.0,5.0,0.0,19.0,16.0
A,41L・42L,2,2.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0
A,41L・42L,3,2.0,2.0,0.0,1.0,2.0,0.0,4.0,4.0
A,41L・42L,4,2.0,3.0,0.0,0.0,3.0,0.0,6.0,6.0
A,41L・42L,5,2.0,2.0,0.0,1.0,3.0,0.0,9.0,8.0
A,41L・42L,6,2.0,2.0,0.0,1.0,4.0,0.0,11.0,10.0
A,41L・42L,7,2.0,2.0,0.0,1.0,5.0,0.0,13.0,12.0
A,41L・42L,8,2.0,2.0,0.0,1.0,6.0,0.0,15.0,14.0
A,43L・44L,1,2.0,3.0,0.0,0.0,7.0,0.0,17.0,16.0
A,43L・44L,2,2.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0
A,43L・44L,3,2.0,3.0,0.0,0.0,1.0,0.0,5.0,4.0
A,43L・44L,4,2.0,2.0,0.0,1.0,1.0,0.0,8.0,6.0
A,43L・44L,5,2.0,2.0,0.0,1.0,2.0,0.0,10.0,8.0
A,43L・44L,6,2.0,3.0,0.0,0.0,3.0,0.0,12.0,10.0
A,43L・44L,7,2.0,1.0,0.0,2.0,3.0,0.0,15.0,12.0
A,43L・44L,8,2.0,2.0,0.0,1.0,5.0,0.0,16.0,14.0
A,45L・46L,1,2.0,2.0,0.0,1.0,6.0,0.0,18.0,16.0
A,45L・46L,2,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
A,45L・46L,3,2.0,3.0,0.0,0.0,1.0,0.0,5.0,4.0
A,45L・46L,4,2.0,1.0,0.0,2.0,1.0,0.0,8.0,6.0
A,45L・46L,5,2.0,2.0,0.0,1.0,3.0,0.0,9.0,8.0
A,45L・46L,6,2.0,2.0,0.0,1.0,4.0,0.0,11.0,10.0
A,45L・46L,7,2.0,2.0,0.0,1.0,5.0,0.0,13.0,12.0
A,45L・46L,8,2.0,3.0,0.0,0.0,6.0,0.0,15.0,14.0
A,47L・48L,1,2.0,2.0,0.0,1.0,6.0,0.0,18.0,16.0
A,47L・48L,2,2.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0
A,47L・48L,3,2.0,3.0,0.0,0.0,3.0,0.0,3.0,4.0
A,47L・48L,4,2.0,2.0,0.0,1.0,3.0,0.0,6.0,6.0
A,47L・48L,5,2.0,3.0,0.0,0.0,4.0,0.0,8.0,8.0
A,47L・48L,6,2.0,2.0,0.0,1.0,4.0,0.0,11.0,10.0
A,47L・48L,7,2.0,2.0,0.0,1.0,5.0,0.0,13.0,12.0
A,47L・48L,8,2.0,2.0,0.0,1.0,6.0,0.0,15.0,14.0
A,5L・6L,1,2.0,2.0,0.0,1.0,7.0,0.0,17.0,16.0
A,5L・6L,2,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
A,5L・6L,3,2.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0
A,5L・6L,4,2.0,3.0,0.0,0.0,2.0,0.0,7.0,6.0
A,5L・6L,5,2.0,1.0,0.0,2.0,2.0,0.0,10.0,8.0
A,5L・6L,6,2.0,2.0,0.0,1.0,4.0,0.0,11.0,10.0
A,5L・6L,7,2.0,2.0,0.0,1.0,5.0,0.0,13.0,12.0
A,5L・6L,8,2.0,2.0,0.0,1.0,6.0,0.0,15.0,14.0
A,7L・8L,1,2.0,1.0,0.0,2.0,7.0,0.0,17.0,16.0
A,7L・8L,2,2.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0
A,7L・8L,3,2.0,1.0,0.0,2.0,3.0,0.0,3.0,4.0
A,7L・8L,4,2.0,3.0,0.0,0.0,5.0,0.0,4.0,6.0
A,7L・8L,5,2.0,2.0,0.0,1.0,5.0,0.0,7.0,8.0
A,7L・8L,6,2.0,3.0,0.0,0.0,6.0,0.0,9.0,10.0
A,7L・8L,7,2.0,2.0,0.0,1.0,6.0,0.0,12.0,12.0
A,7L・8L,8,2.0,2.0,0.0,1.0,7.0,0.0,14.0,14.0
A,9L・10L,1,2.0,2.0,0.0,1.0,8.0,0.0,16.0,16.0
A,9L・10L,2,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
