key,スタートレーン,プロ区分,ライセンスNo,氏名,期,シフト,box_1,box_2,box_3,box_4,box_5,box_6,box_7,box_8,box_9,box_10
20L,20L-2,☆アマ,,高須　貴士,選手,B,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L
20L,20L-3,,1132,佐野　芳宏,46,B,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L
21L,21L-1,,1476,山本　晃,62,A,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
21L,21L-2,☆アマ,,瀬戸　翔,選手,A,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
21L,21L-3,永,288,酒井　武雄,9,A,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
22L,22L-1,,1454,前田　祐輔,61,A,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
22L,22L-2,☆アマ,,白井　康介,選手,A,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
22L,22L-3,,1225,小森　清人,49,A,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
23L,23L-1,,1437,鈴木　一彌,60,A,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
23L,23L-2,☆アマ,,宮越　健一,選手,A,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
23L,23L-3,,848,吉田　文啓,35,A,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
24L,24L-1,,1190,和田　秀和,48,A,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
24L,24L-2,☆アマ,,知名　朝裕,選手,A,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
24L,24L-3,,1392,松浦　和彦,56,A,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
25L,25L-1,,905,太田　隆昌,37,A,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
25L,25L-2,☆アマ,,岡田　有翔,選手,A,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
25L,25L-3,,976,髙橋　昭弘,40,A,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
26L,26L-1,,445,青木　彰彦,16,A,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
26L,26L-2,☆アマ,,平松昭太朗,選手,A,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
26L,26L-3,,1296,荒井慎太朗,52,A,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
27L,27L-1,,1368,志摩竜太郎,55,A,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
27L,27L-2,☆アマ,,鈴木　隆三,選手,A,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
27L,27L-3,,1302,長岡　義一,52,A,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
28L,28L-1,,1450,森岡　昌嵩,61,A,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
28L,28L-2,☆アマ,,小池　一雄,選手,A,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
28L,28L-3,S,1427,田中　椋也,59,A,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
29L,29L-1,S,1078,山本　勲,44,A,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
29L,29L-2,☆アマ,,堂本　好宏,選手,A,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
29L,29L-3,,1464,島田　卓也,62,A,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
30L,30L-1,S,1267,森本　健太,51,A,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
30L,30L-2,☆アマ,,佐藤　宇宙,選手,A,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
30L,30L-3,歴,479,栴檀　稔,21,A,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
31L,31L-1,歴,1032,工藤　貴志,42,A,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
31L,31L-2,☆アマ,,日比野佳之,選手,A,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
31L,31L-3,S,1219,川添　奨太,49,A,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
32L,32L-1,,1472,笹島新太郎,62,A,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
32L,32L-2,☆アマ,,中村　唯人,選手,A,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
32L,32L-3,S,1345,甘糟　翔太,54,A,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
33L,33L-1,S,1180,斉藤　征哉,47,A,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
33L,33L-2,☆アマ,,山本　和紀,選手,A,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
33L,33L-3,S,1432,羽ヶ﨑匠海,60,A,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
34L,34L-1,,1349,入口　光司,54,A,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
34L,34L-2,☆アマ,,木村　暁琉,選手,A,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
34L,34L-3,,1153,江村　学,46,A,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
35L,35L-1,,1456,太田　貴久,61,A,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
