key,スタートレーン,プロ区分,ライセンスNo,氏名,期,シフト,box_1,box_2,box_3,box_4,box_5,box_6,box_7,box_8,box_9,box_10
11L,11L-3,,1376,松田　力也,56,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L
12L,12L-1,,1023,岡野　秀幸,42,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L
12L,12L-2,☆アマ,,横井　毅,選手,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L
12L,12L-3,,1160,遠藤　誠,47,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L
13L,13L-1,,1338,水本　有希,53,A,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L
13L,13L-2,☆アマ,,松岡　拓矢,選手,A,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L
13L,13L-3,,1214,福丸　哲平,48,A,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L
14L,14L-1,,1310,笹田　泰裕,52,A,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L
14L,14L-2,☆アマ,,向井　一司,選手,A,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L
14L,14L-3,,885,平山　陽一,36,A,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L
15L,15L-1,,1066,加藤　祐哉,43,A,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L
15L,15L-2,☆アマ,,谷口　尚,選手,A,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L
15L,15L-3,,1399,神山　匠,57,A,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L
16L,16L-1,,1297,藤川　大輔,52,A,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L
16L,16L-2,☆アマ,,林　優輝,選手,A,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L
16L,16L-3,,1125,相澤　英昭,46,A,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L
17L,17L-1,歴,379,斉藤　正典,12,A,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L
17L,17L-2,☆アマ,,安藤　彩昂,選手,A,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L
